cell_index,cell_type,origin,original_index,inserted_after_original_index,purpose,first_80_chars,sha256_source
12,code,ssot_original,12,,,"def test_xor(OptCls, name, lr, **kw):     np.random.seed(0)     X = np.array([[0",4983615560144eaa1776ccf3efa5912d2a381cb3b7d4f28fca376ef1661057b6
13,markdown,ssot_original,13,,,"--- ## Part 2: IRIS optimizer 비교 (25 점)  같은 네트워크 (4→16→3), 같은 데이터, 같은 epoch 수에서 ",715e99bfcf48550376e7cd03c5daa365c401aa0f6de7f59cce7f93f2db641188
14,code,ssot_original,14,,,from sklearn.datasets import load_iris from sklearn.model_selection import train,418a30002a07293d60747dd1a2a8cdd2bb32262f28214feb006297e425d27740
15,markdown,ssot_original,15,,,### 2.1 4 종 비교 실험 (15 점)  각 optimizer 의 학습률은 아래 표를 사용 (수업 슬라이드 권장값):  | Optimize,d732800fb12f1e84f9b644679dbda3eb4e39a1e3b50dbf9ba0b03bbf08bd683e
16,code,ssot_original,16,,,"def train_iris(OptCls, **kw):     # TODO: 다음 순서로 구현     # 1) np.random.seed(0)  ",66677f4bed887be98079222c9e95651f8c21ef1b6bee4ada64d2bd1a2677a63a
17,markdown,ssot_original,17,,,### 2.2 학습 곡선 시각화 (10 점)  4 개 optimizer 의 loss curve 를 한 그림에 그린다. y 축은 log scale,9a268a01bbe23cf7b9209642b0b9fc50c6fe17223cd8c24c36686c9958c18b2e
18,code,ssot_original,18,,,"#아래 코드를 이용하거나 별도의 코드를 작성 fig, ax = plt.subplots(figsize=(10, 5)) colors = {'MySG",9ab37e5c246a370632a1f8803fbb7ed145ef3de84c88ed548accd6029a89f25d
19,markdown,ssot_original,19,,,--- ## Part 3: MNIST optimizer 비교 (25 점)  더 어려운 문제에서 차이가 더 뚜렷해진다. Iris 와 같은 4 종 ,9d2dbbaea813a838a5b4d35fb88ea8e802a411b43b994522d397de3c02636bcc
20,code,ssot_original,20,,,import os  X = y = None  if X is None:     try:         from tensorflow.keras.da,3d55af6dcfd313b03793146e03e3b19e7ff20e46ab780f1c4d2c06e7e914a604
21,markdown,ssot_original,21,,,### 3.2 4 종 비교 학습 (15 점)  네트워크: 784 → 64 → 32 → 10 (작게 잡아 학습 시간 단축). 각 optimizer,7168afb3febe3144f594e910a68bb7fa82fd37d685c29280fc0b225a99513439
22,code,ssot_original,22,,,"def train_mnist(OptCls, **kw):     # TODO: 다음 구조의 네트워크로 MNIST 학습     #   Dense(7",0a9a76eb1910e9bc7fe263a06f3578ffb97d3b0e1aa2030ff3131a9bd46f0849
23,markdown,ssot_original,23,,,### 3.3 결과 시각화 (10 점),a659e97e3ea5e7032cd32413a7e1c94a7de6eba6b29fdc8da8b4bc4fd3a4b5e4
24,code,ssot_original,24,,,"#아래 코드를 이용하거나 별도의 코드를 작성 fig, axes = plt.subplots(1, 2, figsize=(13, 4.5)) color",2f6f08cb115397a8abcc146fb59b5a6f20b83f19e1dfed723ae3ecc4e6a0b7b2
25,markdown,ssot_original,25,,,--- ## Part 4: 학습률 민감도 (10 점)  같은 optimizer 라도 학습률에 따라 결과가 크게 달라진다. **Adam** vs ,4f10313cd4416e0eef16ba6525d0ee76e468319b1a27e503d064dd0dcbc38f96
26,code,ssot_original,26,,,"lrs = [1e-4, 1e-3, 1e-2, 1e-1]  # TODO: 각 lr 에 대해 MySGD 와 MyAdam 학습 후 test_acc 수",b391b6da99b1993b30d702c604b58405f3c065abc4086be93325763c1ebdd535
27,markdown,ssot_original,27,,,"--- ## Part 5: 분석 (간단 서술, 각 5 점 — 총 20 점)  위 실험 결과를 보고 다음 4 개 질문에 본인 의견을 작성하세요. ",7a37d641e0b4b88accbef4ab47eaa958f6222aa7855e0a27a2837cbadef8eda0
